"","x"
"1192",1
"1193",1
"1194",12
"1195",12
"1196",12
"1197",3
"1198",3
"1199",3
"1200",1
"1201",12
"1202",5
"1203",23
"1204",9
"1205",9
"1206",19
"1207",19
"1208",9
"1209",4
"1210",4
"1211",6
"1212",15
"1213",9
"1214",9
"1215",6
"1216",4
"1217",4
"1218",4
"1219",5
"1220",5
"1221",5
"1222",15
"1223",15
"1224",15
"1225",5
"1226",13
"1227",8
"1228",8
"1229",15
"1230",9
"1231",9
"1232",8
"1233",15
"1234",2
"1235",2
"1236",2
"1237",2
"1238",2
"1239",2
"1240",2
"1241",9
"1242",19
"1243",19
"1244",12
"1245",12
"1246",2
"1247",2
"1248",2
"1249",2
"1250",2
"1251",2
"1252",2
"1253",2
"1254",2
"1255",2
"1256",2
"1257",2
"1258",2
"1259",2
"1260",2
"1261",2
"1262",2
"1263",2
"1264",5
"1265",5
"1266",8
"1267",4
"1268",13
"1269",20
"1270",20
"1271",6
"1272",7
"1273",3
"1274",6
"1275",6
"1276",7
"1277",6
"1278",2
"1279",18
"1280",10
"1281",1
"1282",3
"1283",5
"1284",11
"1285",11
"1286",11
"1287",10
"1288",14
"1289",15
"1290",1
"1291",1
"1292",15
"1293",1
"1294",1
"1295",1
"1296",1
"1297",3
"1298",7
"1299",7
"1300",5
"1301",5
"1302",2
"1303",2
"1304",2
"1305",2
"1306",3
"1307",6
"1308",6
"1309",5
"1310",10
"1311",5
"1312",10
"1313",10
"1314",10
"1315",11
"1316",11
"1317",8
"1318",10
"1319",14
"1320",15
"1321",10
"1322",10
"1323",10
"1324",9
"1325",11
"1326",11
"1327",4
"1328",7
"1329",10
"1330",10
"1331",10
"1332",10
"1333",11
"1334",4
"1335",2
"1336",13
"1337",12
"1338",6
"1339",9
"1340",9
"1341",9
"1342",13
"1343",10
"1344",10
"1345",10
"1346",10
"1347",14
"1348",3
"1349",1
"1350",1
"1351",1
"1352",10
"1353",11
"1354",14
"1355",7
"1356",13
"1357",3
"1358",4
"1359",13
"1360",12
"1361",12
"1362",12
"1363",3
"1364",3
"1365",4
"1366",8
"1367",13
"1368",10
"1369",5
"1370",5
"1371",15
"1372",15
"1373",10
"1374",10
"1375",10
"1376",4
"1377",4
"1378",4
"1379",4
"1380",9
"1381",18
"1382",1
"1383",11
"1384",5
"1385",15
"1386",15
"1387",4
"1388",7
"1389",13
"1390",9
"1391",9
"1392",1
"1393",5
"1394",5
"1395",3
"1396",10
"1397",5
"1398",5
"1399",4
"1400",5
"1401",5
"1402",6
"1403",1
"1404",1
"1405",1
"1406",17
"1407",17
"1408",14
"1409",18
"1410",18
"1411",5
"1412",5
"1413",10
"1414",10
"1415",10
"1416",1
"1417",5
"1418",10
"1419",6
"1420",10
"1421",15
"1422",7
"1423",8
"1424",5
"1425",1
"1426",7
"1427",15
"1428",7
"1429",7
"1430",7
"1431",2
"1432",15
"1433",7
"1434",7
"1435",7
"1436",17
"1437",5
"1438",11
"1439",11
"1440",2
"1441",13
"1442",7
"1443",7
"1444",17
"1445",14
"1446",14
"1447",14
"1448",14
"1449",14
"1450",14
"1451",14
"1452",14
"1453",14
"1454",9
"1455",4
"1456",7
"1457",14
"1458",14
"1459",1
"1460",5
"1461",7
"1462",16
"1463",16
"1464",16
"1465",4
"1466",4
"1467",12
"1468",12
"1469",7
"1470",7
"1471",1
"1472",15
"1473",7
"1474",10
"1475",4
"1476",6
"1477",4
"1478",15
"1479",3
"1480",1
"1481",7
"1482",15
"1483",15
"1484",15
"1485",15
"1486",15
"1487",15
"1488",13
"1489",11
"1490",12
"1491",12
"1492",5
"1493",2
"1494",7
"1495",7
"1496",11
"1497",12
"1498",8
"1499",11
"1500",8
"1501",13
"1502",11
"1503",11
"1504",4
"1505",3
"1506",6
"1507",7
"1508",11
"1509",10
"1510",4
"1511",9
"1512",11
"1513",5
"1514",5
"1515",11
"1516",4
"1517",4
"1518",4
"1519",5
"1520",4
"1521",4
"1522",4
"1523",12
"1524",3
"1525",13
"1526",2
"1527",2
"1528",2
"1529",2
"1530",9
"1531",7
"1532",15
"1533",15
"1534",15
"1535",1
"1536",1
"1537",9
"1538",9
"1539",9
"1540",3
"1541",3
"1542",6
"1543",7
"1544",7
"1545",7
"1546",9
"1547",9
"1548",2
"1549",18
"1550",18
"1551",4
"1552",10
"1553",13
"1554",13
"1555",12
"1556",12
"1557",15
"1558",9
"1559",11
"1560",11
"1561",11
"1562",8
"1563",8
"1564",6
"1565",13
"1566",13
"1567",8
"1568",5
"1569",6
"1570",2
"1571",7
"1572",8
"1573",3
"1574",19
"1575",11
"1576",11
"1577",11
"1578",15
"1579",11
"1580",9
"1581",9
"1582",9
"1583",9
"1584",9
"1585",9
"1586",9
"1587",15
"1588",11
"1589",7
"1590",6
"1591",8
"1592",1
"1593",5
"1594",11
"1595",11
"1596",11
"1597",11
"1598",1
"1599",2
"1600",13
"1601",11
"1602",7
"1603",9
"1604",11
"1605",11
"1606",11
"1607",11
"1608",9
"1609",10
"1610",11
"1611",5
"1612",15
"1613",9
"1614",5
"1615",7
"1616",15
"1617",5
"1618",11
"1619",7
"1620",15
"1621",15
"1622",13
"1623",5
"1624",1
"1625",1
"1626",5
"1627",5
"1628",5
"1629",4
"1630",5
"1631",10
"1632",10
"1633",10
"1634",10
"1635",5
"1636",11
"1637",15
"1638",12
"1639",5
"1640",7
"1641",7
"1642",13
"1643",13
"1644",7
"1645",7
"1646",9
"1647",9
"1648",5
"1649",2
"1650",15
"1651",15
"1652",5
"1653",5
"1654",5
"1655",9
"1656",6
"1657",7
"1658",16
"1659",7
"1660",3
"1661",3
"1662",7
"1663",7
"1664",5
"1665",16
"1666",4
"1667",5
"1668",15
"1669",15
"1670",5
"1671",15
"1672",1
